순위,곡명,가수,앨범,좋아요
1,Ditto,NewJeans,NewJeans 'OMG',220698
2,OMG,NewJeans,NewJeans 'OMG',141594
3,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans',233098
4,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND',77316
5,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',279626
6,VIBE (feat. Jimin of BTS),태양,VIBE (feat. Jimin of BTS),81329
7,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,189071
8,Attention,NewJeans,NewJeans 1st EP 'New Jeans',209578
9,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE,145983
10,Sugar Rush Ride,투모로우바이투게더,이름의 장: TEMPTATION,82220
11,After LIKE,IVE (아이브),After LIKE,216529
12,우리들의 블루스,임영웅,IM HERO,87959
13,다시 만날 수 있을까,임영웅,IM HERO,71102
14,Candy,NCT DREAM,Candy - Winter Special Mini Album,133723
15,I Don't Think That I Like Her,Charlie Puth,CHARLIE,107444
16,London Boy,임영웅,Polaroid,44796
17,LOVE DIVE,IVE (아이브),LOVE DIVE,225959
18,Polaroid,임영웅,Polaroid,40541
19,무지개,임영웅,IM HERO,59039
20,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,164669
21,아버지,임영웅,IM HERO,49145
22,Nxde,(여자)아이들,I love,153196
23,네가 보고 싶은 건 자연스러운 거겠지,신예영,혼잣말 獨白,15648
24,A bientot,임영웅,IM HERO,47176
25,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,쇼미더머니 11 Episode 3,86835
26,인생찬가,임영웅,IM HERO,46024
27,손이 참 곱던 그대,임영웅,IM HERO,45465
28,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,251684
29,Monologue,테이,Monologue,76107
30,사랑해 진짜,임영웅,IM HERO,46494
31,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),141881
32,연애편지,임영웅,IM HERO,44590
33,Cookie,NewJeans,NewJeans 1st EP 'New Jeans',124267
34,7시에 들어줘 (Feat. Peder Elias),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND',45468
35,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),174853
36,마지막 사랑,신예영,마지막 사랑,17532
37,해요 (2022),#안녕,해요 (2022),71526
38,보금자리,임영웅,IM HERO,43769
39,Rush Hour (Feat. j-hope of BTS),Crush,Rush Hour,104196
40,Devil by the Window,투모로우바이투게더,이름의 장: TEMPTATION,55891
41,Ay-Yo,NCT 127,Ay-Yo - The 4th Album Repackage,52346
42,Shut Down,BLACKPINK,BORN PINK,112359
43,그대를 알고,송하예,그대를 알고,29747
44,Unholy,Sam Smith,Gloria,38525
45,Say I Love You,우디 (Woody),Say I Love You (Re : WIND 4MEN Vol.04),37876
46,네버랜드를 떠나며,투모로우바이투게더,이름의 장: TEMPTATION,53234
47,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),정국,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],105102
48,Pink Venom,BLACKPINK,BORN PINK,151866
49,내가 아니라도,주호,내가 아니라도,91886
50,TOMBOY,(여자)아이들,I NEVER DIE,231748
