point, temp, hum
강릉,8.7,47
강진군,9.4,57
강화,3.2,63
거제,8.1,61
거창,8.0,49
경주시,8.7,52
고산,7.6,82
고창,5.9,49
고창군,7.9,55
고흥,7.3,60
광양시,9.6,54
광주,7.6,54
구미,9.1,47
군산,5.7,53
금산,5.5,61
김해시,7.8,61
남원,7.1,59
남해,7.9,61
대관령,-1.3,74
대구,9.4,46
대전,5.4,54
동두천,4.0,54
동해,7.1,50
목포,6.3,65
문경,5.4,56
밀양,9.4,44
백령도,3.6,48
보령,5.7,51
보성군,8.5,66
보은,5.2,63
봉화,4.8,63
부산,8.9,61
부안,7.0,56
부여,6.9,48
북강릉,6.6,44
북부산,8.8,54
북창원,8.1,58
북춘천,3.0,69
산청,8.7,53
상주,7.4,52
서귀포,11.4,70
서산,5.5,50
서울,4.5,57
성산,8.3,84
세종,6.9,47
속초,5.6,50
수원,4.3,58
순창군,6.8,62
순천,8.4,60
안동,6.0,53
양산시,9.5,59
양평,4.9,53
여수,8.5,59
영광군,8.1,58
영덕,7.8,51
영월,3.9,62
영주,5.8,55
영천,8.0,53
완도,9.1,60
울릉도,3.0,86
울산,7.7,63
울진,7.2,48
원주,4.5,46
의령군,9.5,47
의성,8.2,52
이천,4.7,58
인제,3.2,59
인천,4.1,57
임실,7.2,57
장수,5.6,62
장흥,9.0,58
전주,5.7,61
정선군,3.2,50
정읍,6.8,54
제주,7.6,83
제천,4.0,63
진도군,6.5,65
진주,7.9,60
창원,7.2,57
천안,5.8,51
철원,2.5,59
청송군,6.6,45
청주,6.5,47
추풍령,5.5,57
춘천,4.2,53
충주,4.0,64
태백,1.0,60
통영,9.1,59
파주,4.5,54
포항,8.1,57
함양군,9.2,49
합천,9.0,49
해남,8.4,59
홍성,5.4,52
홍천,3.9,57
흑산도,5.6,63
